name,parameter_name,sensitivity_rank,npv_impact_pct,npv_impact_elasticity,breakeven_margin,tier,composition,fromula,assumption_rationale,plain_explanation,notes,symbol,unit,value,range_min,range_max,source_names,source_urls
Urban Female Casual/Informal Wage,BASELINE_WAGES['urban_female']['casual_informal'],,,,N/A,3,BASE,PLFS 2023-24 daily wage ₹365 × 25 days,"Directly measured from PLFS 2023-24: daily casual wage (₹365) multiplied by 25 working days per month. This is observed survey data, not estimated.","Urban women in casual work earn about ₹9,100/month—32% less than urban men in similar informal jobs, showing the gender penalty even in the informal sector.","NOT varied in Monte Carlo (measured data). Gender + informality double penalty: 32% lower than urban male informal (₹13,425). Calculated: ₹365/day × 25 days = ₹9,129/mo.",W₀_UF_INF,INR/month,9129,8000,10500,,
"Urban Female Baseline Wage (Higher Secondary, 12yr)",BASELINE_WAGES['urban_female']['higher_secondary_12yr'],,,,N/A,3,CT1,"secondary (₹19,879) × (1.058)² = ₹24,928. Uses MINCER_RETURN_HS","Derived from secondary wage (₹19,879) using the 5.8% Mincer return: ₹19,879 × (1.058)² = ₹24,928. This reflects the standard education-wage relationship from PLFS 2023-24.","An urban woman with 12th grade earns about ₹24,900/month—better than rural, but still below urban men. The gender wage gap persists even at higher education levels.","NOT varied in Monte Carlo (measured/derived data). Gender wage gap persists at higher education levels. Calculation: ₹19,879 × 1.058² = ₹24,928.",W₀_UF_HS,INR/month,24928,23000,27000,,
"Urban Female Baseline Wage (Secondary, 10yr)",BASELINE_WAGES['urban_female']['secondary_10yr'],,,,N/A,3,BASE,PLFS 2023-24 Table 21 direct measurement,Directly measured from PLFS 2023-24 Table 21 for salaried workers in regular wage employment. Represents average monthly earnings for urban females with secondary education.,"An urban woman with 10th grade education earns about ₹19,900/month—24% less than an urban man with the same education, reflecting persistent gender wage gaps.","NOT varied in Monte Carlo (measured data). Gender wage gap: 24% lower than urban male (₹26,105).",W₀_UF_S,INR/month,19879,18000,22000,,
Urban Male Casual/Informal Wage,BASELINE_WAGES['urban_male']['casual_informal'],,,,N/A,3,BASE,PLFS 2023-24 daily wage ₹537 × 25 days,"Directly measured from PLFS 2023-24: daily casual wage (₹537) multiplied by 25 working days per month. This is observed survey data, not estimated.","Urban men in casual work earn about ₹13,400/month—this is the counterfactual (what they'd earn without intervention) for young urban men considering apprenticeship.","NOT varied in Monte Carlo (measured data). Counterfactual for informal sector entry. Assumes 25 working days/month. Calculated: ₹537/day × 25 days = ₹13,425/mo.",W₀_UM_INF,INR/month,13425,12000,15000,PLFS_annual_report_summary_2023_2024  |   pib.gov.in  |   labour.gov.in,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2publication/periodic-labour-force-survey-quarterly-bulletin-april-june-2024  |   https://pib.gov.in/PressReleasePage.aspx?PRID=2052891  |   https://labour.gov.in
"Urban Male Baseline Wage (Higher Secondary, 12yr)",BASELINE_WAGES['urban_male']['higher_secondary_12yr'],,,,N/A,3,CT1,"secondary (₹26,105) × (1.058)² = ₹32,800. Uses MINCER_RETURN_HS","Derived from secondary wage (₹26,105) using the 5.8% Mincer return from PLFS 2023-24. This is the education premium: each additional year of schooling adds ~5.8% to wages.","An urban man with 12th grade earns about ₹32,800/month—this is the key anchor for our RTE calculations, representing what a successful RTE graduate might earn in a formal job.","NOT varied in Monte Carlo (measured/derived data). Key anchor for RTE higher secondary completion scenario. Calculation: ₹26,105 × 1.058² = ₹32,800.",W₀_UM_HS,INR/month,32800,30000,35000,,
Counterfactual EWS Schooling Distribution [Not in model],COUNTERFACTUAL_SCHOOLING,,,,N/A,2,CT2,"ASER 2023-24. Distribution: govt=66.8%, private=30.6%, dropout=2.6%",Based on ASER 2023-24 survey data showing where EWS children actually go to school without RTE intervention. Updated from previous assumptions (70/20/10) to reflect post-COVID reality.,"Without RTE, about 67% of poor children go to government schools, 31% attend low-fee private schools, and only 3% drop out completely. The high private school share actually raises the baseline, making RTE's impact more conservative.",UPDATED from Milestone 2 (was 70/20/10). Post-COVID shift: EWS families increasingly opt for low-fee private schools. Lower dropout rates (2.6% vs 10%) reflect policy success. Higher private school share RAISES counterfactual baseline → LOWERS RTE treatment effect → More conservative/credible estimates.,"(p_govt, p_private, p_dropout)",probability distribution,"(0.668, 0.306, 0.026)",,,asercentre.org  |   asercentre.org  |   rchiips.org  |   asercentre.org  |   mospi.nic.in  |   dashboard.udiseplus.gov.in,https://asercentre.org/aser-2023-beyond-basics/  |   https://asercentre.org/wp-content/uploads/2022/12/ASER-2023-Report-1.pdf  |   http://rchiips.org/nfhs/  |   https://asercentre.org/annual-status-of-education-report-aser-2023-rural/  |   http://mospi.nic.in/sites/default/files/publication_reports/Report_585_75th_round_Education_final_1507_0.pdf]  |   https://dashboard.udiseplus.gov.in/]
Consumer Price Index (CPI) Inflation [Not in model],INFLATION_RATE,,,,N/A,3,BASE,MOSPI CPI data 2025 = 4.95%. Not used in model (real terms),Based on MOSPI official CPI data showing 4.95% average inflation in 2025. India's inflation has moderated from 10-12% (2010-2013) to 4-6% (2020-2024).,Prices rise about 5% per year in India. But here's the key: we don't use this directly in our calculations because everything is already in 'real' (inflation-adjusted) terms.,"IMPORTANT: NOT directly used in NPV calculations. Model works in REAL terms: baseline wages already real (2025 prices), REAL_WAGE_GROWTH captures real dynamics, SOCIAL_DISCOUNT_RATE is already real. Documented to show relationship: nominal growth ≈ 5% = inflation + real growth.",π,annual inflation rate,0.0495,0.04,0.06,mospi.gov.in  |   PLFS_annual_report_summary_2023_2024  |   rbidocs.rbi.org.in  |   tradingeconomics.com,https://www.mospi.gov.in/sites/default/files/press_release/CPI_PR_13Jan25.pdf  |   https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2](https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2  |   https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/0HANDBOOK111225883086B042ED449F9C3DDACAB54415D8.PDF  |   https://tradingeconomics.com/india/inflation-cpi](https://tradingeconomics.com/india/inflation-cpi
"Urban Male Baseline Wage (Secondary, 10yr)",BASELINE_WAGES['urban_male']['secondary_10yr'],,,,N/A,3,BASE,PLFS 2023-24 Table 21 direct measurement,"Directly measured from PLFS 2023-24 Table 21 for salaried workers in regular wage employment. This is observed survey data from India's official labor force survey, not estimated.","An urban man with 10th grade education earns about ₹26,100/month in a salaried job—this is our baseline wage from which we calculate education premiums.","NOT varied in Monte Carlo (measured data). Salaried workers, regular wage employment. Base year: 2025.",W₀_UM_S,INR/month,26105,24000,28000,PLFS_Annual_Report_23_24  |   PLFS_annual_report_summary_2023_2024  |   rbidocs.rbi.org.in  |   PLFS_annual_report_summary_2023_2024,https://dge.gov.in/dge/sites/default/files/2024-10/Annual_Report_Periodic_Labour_Force_Survey_23_24.pdf  |   https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2publication/annual-report-periodic-labour-force-survey-2023-24](https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2  |   https://rbidocs.rbi.org.in/rdocs/Publications/PDFs/0HANDBOOK111225883086B042ED449F9C3DDACAB54415D8.PDF  |   https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2
Test Score to Equivalent Years of Schooling [Not in model],RTE_EQUIVALENT_YEARS,,,,N/A,2,CT2,Angrist et al. 2021 World Bank = 4.7 years/SD,Based on World Bank LMIC meta-analysis (Angrist et al. 2021). No India-specific estimate available. Converts: 0.23 SD test score gain × 4.7 = 1.08 equivalent years of schooling.,A 1 standard deviation improvement in test scores is worth about 4.7 years of schooling in terms of future earnings. So RTE's 0.23 SD gain translates to roughly 1 extra year of 'effective' education.,"Global LMIC average. India-specific NOT available. Converts 0.23 SD × 4.7 = 1.08 equivalent years. CONCERN: Assumes test scores → degree completion. Employers see credentials, not scores. Missing link: Do RTE students have higher completion rates?",years/SD,years per standard deviation,4.7,4,6.5,evans_yuan_2019_equivalent_years_schooling_learning_gains  |   angrist_evans_2020_improve_education_outcomes_efficiently  |   evans_yuan_2019_equivalent_years_schooling_learning_gains  |   angrist_etal_2021_measuring_human_capital_learning_data  |   patrinos_2024_returns_to_education,https://documents1.worldbank.org/curated/en/123371550594320297/txt/WPS8752.txt  |   https://documents1.worldbank.org/curated/en/801901603314530125/pdf/How-to-Improve-Education-Outcomes-Most-Efficiently-A-Comparison-of-150-Interventions-Using-the-New-Learning-Adjusted-Years-of-Schooling-Metric.pdf  |   https://openknowledge.worldbank.org/server/api/core/bitstreams/ee996c03-1232-54eb-89cd-7f6fe71e13a4/content  |   https://www.nature.com/articles/s41586-021-03323-7  |   https://eproceedings.epublishing.ekt.gr/index.php/inoek/article/view/7034/6697
RTE Intervention Initial Wage Premium [DEPRECATED],RTE_INITIAL_PREMIUM [DEPRECATED],,,,N/A,1,CT1,Treatment (private×P_formal×multiplier) - Counterfactual (ASER weighted) = ₹98k,"Calculated as difference between treatment (private school → formal job) and counterfactual (weighted average of government school, low-fee private, and dropout outcomes). Uses updated ASER 2023-24 counterfactual distribution.","RTE students earn about ₹98,000 more per year than similar kids without RTE access—that's the combined effect of better education quality and higher chances of formal employment.","Calculation (Urban Male): Treatment ₹32,800/mo × P(Formal)=0.20 × 2.25 = ₹14,760/mo effective. Control (ASER 2023-24 weighted): Govt 66.8%, low-fee private 30.6%, dropout 2.6% = ₹6,600/mo effective. Premium: (₹14,760 - ₹6,600) × 12 = ₹98k/year. Within 40Hour_PoC_Plan range (₹80-120k).",π→π_RTE,INR/year,98000,70000,120000,PLFS_annual_report_summary_2023_2024,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2publication/annual-report-periodic-labour-force-survey-2022-23
RTE Program Retention Through Grade 12 [Not in model],RTE_RETENTION_FUNNEL,,,,N/A,1,CT2,education.gov.in UDISE. Stages: G1-8×G8-10×G10-12 = 60%,TIER 1 GAP: No longitudinal tracking of RTE beneficiaries exists. The 60% assumes RTE students have same retention as private school average—this LIKELY OVERESTIMATES if RTE students face discrimination or hidden costs.,"Only about 60% of RTE students make it through to 12th grade completion. Combined with the 29% seat fill rate, this means only 17% of eligible children get the full RTE benefit.","TIER 1 GAP: No RTE-specific tracking. Assumption may OVERESTIMATE if RTE students face discrimination/isolation, hidden costs, lower-quality treatment. Transition stages: Grade 1-8 (70-85%), 8-10 (70-85%), 10-12 (70-85%) → Overall 60%. Regional: Urban South/West 65-75%, Rural North/East 50-60%. Program effectiveness = 29% × 60% = 17.4%.",P_retention,proportion,0.6,0.5,0.75,education.gov.in  |   dashboard.udiseplus.gov.in  |   cag.gov.in  |   accountabilityindia.in  |   education.gov.in,https://www.education.gov.in/sites/upload_files/mhrd/files/statistics-new/udise_report_existing_23_24.pdf  |   https://dashboard.udiseplus.gov.in/  |   https://cag.gov.in/en/audit-report/details/48444  |   https://accountabilityindia.in/  |   https://www.education.gov.in/
RTE 25% Quota Seat Fill Rate [Not in model],RTE_SEAT_FILL_RATE,,,,N/A,2,CT2,CAG Audit 2014. filled_seats / reserved_seats = 29%,"Based on CAG Audit Report 2014 showing only 29% of reserved seats actually filled nationwide. Data is dated but no recent comprehensive audit exists. State variation is huge: Punjab 48%, Bihar 11%.","Only 29% of RTE reserved seats are actually filled—most eligible families don't apply due to awareness gaps, documentation barriers, or practical challenges. This dramatically affects the program's overall cost-effectiveness.","CRITICAL PROGRAM PARAMETER. State variation: Punjab 48%, Bihar 11%, national 29%. Data limitations: CAG audit dated (2013-14), may reflect awareness/application barriers, state-specific data requires special requests. Effective program reach = Fill rate × Retention = 29% × 60% = 17.4%.",P_fill,proportion,0.29,0.2,0.4,education.gov.in  |   ncpcr.gov.in  |   cprindia.org,https://www.education.gov.in/sites/upload_files/mhrd/files/statistics-new/ESAG-2020.pdf  |   https://ncpcr.gov.in/index1.php?lang=1&level=1&sublinkid=1508&lid=1569  |   https://www.cprindia.org/news/curious-case-rte-section-121c
Vocational Training Wage Premium [DEPRECATED],VOCATIONAL_PREMIUM [DEPRECATED],,,,N/A,2,CT2,DGT National Tracer Study 2019-20. trained_wage / untrained_wage - 1 = 4.7%,Based on DGT National Tracer Study 2019-20 using ITI graduates as proxy for apprenticeship completers. The 4.7% premium is cross-sectional—no data on persistence over time.,"Vocational training adds about 4.7% to wages on top of formal sector benefits. Combined with the 2× formal sector multiplier, this means trained workers earn significantly more than untrained counterparts.","Cross-sectional premium for formal vocational training. Combines with formal multiplier: Informal ₹11,100/mo → Formal without vocational ₹11,100×2.25=₹24,975/mo → Formal WITH vocational ₹24,975×1.047=₹26,150/mo. LIMITATION: No data on persistence (does premium decay over time?).",Δ_voc,proportional wage increase,0.047,0.03,0.06,dgt_msde_2024_tracer_study_iti_employment_outcomes  |   sharma_nagendra_2016_skill_development_india_challenges  |   ILO_India_Employment_Report_2024  |   ISR_2026,https://dgt.gov.in/sites/default/files/National%20Tracer%20Study%20-%20STRIVE.pdf  |   https://reader.z-library.sk/read/6294ba746bba327a5d58ea9872c4bb01d8bc6a9b96604a0c5da0f74c7071dfbe/105308425/301ca9/skill-development-in-india-challenges-and-opportunities.html?client_key=1fFLi67gBrNRP1j1iPy1&extension=pdf&signature=eca97a0216478c2c87dd4188f7c35d4601536c92a4d8b0a1f1d1c592c810bb74&download_location=https%3A%2F%2Fz-library.sk%2Fdl%2F105308425%2F640f00  |   https://www.ilo.org/sites/default/files/2024-08/India%20Employment%20-%20web_8%20April.pdf  |   https://wheebox.com/assets/pdf/ISR_Report_2026.pdf
Labor Market Entry Age [Excluded from sensitivity analysis- fixed structural assumptions],LABOR_MARKET_ENTRY_AGE,,,,N/A,3,BASE,Post-HS entry assumption = 22 years,"Standard assumption for when higher secondary graduates enter the formal labor market, accounting for job search time. This sets the base year for NPV discounting—we calculate lifetime earnings from this point forward.","We assume most graduates start their careers around age 22—after finishing 12th grade, possibly some additional training, and job search. RTE kids enrolling at age 6 today will hit the job market around 2041.","Variation by pathway: Apprenticeship 18-20 years, Higher secondary only 20-22 years, College graduates 22-25 years. Affects NPV base year. For RTE: Child enrolls age 6 (2025) → Completes HS age 18 (2037) → Enters labor market age 22 (2041). See discounting_methodology_explanation.md.",age₀,years,22,18,25,,
Working Life Duration (Informal Sector) [DEPRECATED],WORKING_LIFE_INFORMAL [DEPRECATED],,,,N/A,3,BASE,No retirement - work until 65-70. Entry 15-18yr = ~50 years,"Based on e-Shram portal data and PLFS elderly employment rates. Informal workers have no fixed retirement age and often work until physically unable—typically age 15-18 to 65-70+, driven by lack of pensions and social security.","Informal sector workers have no retirement—they work as long as physically possible, often into their late 60s or 70s. That's about 50 years of work, but later years have reduced productivity and income.","Informal sector has NO fixed retirement. Entry often 15-18 years (early dropout). Exit: Work as long as able (65-70+). Driven by lack of pensions, savings, social security. CAVEAT: Later years (60+) likely reduced productivity/income. Model should apply productivity discount factor (e.g., 0.5× after age 65).",T_informal,years,50,45,55,PLFS_Annual_Report_23_24  |   ILO_2018_employment_social_outlook  |   PLFS_annual_report_summary_2023_2024  |   Word_Bank_2018_INDIA_SYSTEMATIC_COUNTRY_DIAGNOSTIC,https://dge.gov.in/dge/sites/default/files/2024-10/Annual_Report_Periodic_Labour_Force_Survey_23_24.pdf  |   https://www.ilo.org/sites/default/files/wcmsp5/groups/public/%40dgreports/%40dcomm/%40publ/documents/publication/wcms_615594.pdf  |   https://www.pib.gov.in/PressReleasePage.aspx?PRID=2057970&reg=3&lang=2  |   https://openknowledge.worldbank.org/server/api/core/bitstreams/a5ed985d-441a-5bbd-92da-9798dbfd1353/content
Test Score to Equivalent Years of Schooling [Not in model],RTE_EQUIVALENT_YEARS,,,,N/A,,CT2,World Bank LMIC meta-analysis (Angrist et al. 2021),,"Global LMIC average. India-specific estimate not available.
 
 Converts: 0.23 SD × 4.7 years/SD = 1.08 equivalent years.
 
 Concern: This conversion assumes test scores → actual degree completion.
 Employers see credentials (degrees), not test scores.
 Effect only realized if test score gains → higher secondary/college completion.
 
 Missing link: Do RTE students have higher completion rates?",,years/SD,years per standard deviation,4.7,6.5,2,,
RTE Intervention Initial Wage Premium [DEPRECATED],RTE_INITIAL_PREMIUM,,,,N/A,,CT1,(Private school formal wage - Counterfactual weighted avg) at labor market entry,,"Calculation (Urban Male example):
 - Treatment: ₹32,800/mo × P(Formal|HS)=0.20 × 2.25 formal multiplier = ₹14,760/mo effective
 - Control: Weighted avg of govt (66.8%), low-fee private (30.6%), dropout (2.6%)
 = 0.668×₹26,105×0.12×2.25 + 0.306×₹29,000×0.15×2.25 + 0.026×₹13,425
 = ₹6,600/mo effective
 - Premium: (₹14,760 - ₹6,600) × 12 = ₹98,000/year
 
 This is WITHIN the 40Hour_PoC_Plan range (₹80-120k) but at upper end.
 
 Updated counterfactual from Milestone 2:
 - Govt: 66.8% (was 70%)
 - Low-fee private: 30.6% (was 20%)
 - Dropout: 2.6% (was 10%)
 
 Higher private school share in counterfactual RAISES the control group baseline,
 thus LOWERS the treatment effect.",,π→π_RTE,INR/year,98000,120000,1,,
RTE Program Retention Through Grade 12 [Not in model],RTE_RETENTION_FUNNEL,,,,N/A,,CT1,UDISE+ EWS completion rates as proxy (no RTE-specific tracking),,"TIER 1 GAP: No longitudinal tracking of RTE beneficiaries exists.
 
 Assumption: RTE students have same retention as private school average.
 This LIKELY OVERESTIMATES if:
 - RTE students face discrimination/social isolation
 - Families still can't afford textbooks/transport/uniform
 - Schools provide lower quality education to RTE students
 
 Transition stages:
 - Grade 1-8: 70-85% retention
 - Grade 8-10: 70-85% continuation 
 - Grade 10-12: 70-85% continuation
 - Overall: 60% complete Grade 12
 
 Regional variation (ASER):
 - Urban South/West: 65-75%
 - Rural North/East: 50-60%
 
 MODEL IMPACT:
 Program effectiveness = Fill rate × Retention
 29% × 60% = 17.4% effective reach
 
 This is CRITICAL for realistic BCR estimates.",,P_retention,proportion,0.6,0.75,1,,
RTE 25% Quota Seat Fill Rate [Not in model],RTE_SEAT_FILL_RATE,,,,N/A,,CT2,CAG Audit Report 2014 on RTE Implementation,,"CRITICAL PROGRAM PARAMETER: Only 29% of reserved seats actually filled.
 
 State variation: 10-50% (Punjab: 48%, Bihar: 11%, national: 29%)
 
 Data limitations:
 - CAG audit is dated (2013-14), but no recent comprehensive audit
 - May reflect awareness/application barriers, not demand
 - State-specific data requires special requests from education departments
 
 IMPLICATION: Effective program reach = Fill rate × Retention rate
 If 29% fill and 60% retention → only 17.4% of eligible children get full treatment.
 
 This affects BCR calculation:
 - Per-completer BCR: LNPV / Cost_per_completer
 - Per-eligible BCR: (LNPV × Fill × Retention) / Cost_per_eligible",,P_fill,proportion,0.29,0.4,2,,
Vocational Training Wage Premium [DEPRECATED],VOCATIONAL_PREMIUM,,,,N/A,,CT2,DGT National Tracer Study 2019-20 (ITI graduates proxy),,"Cross-sectional premium for formal vocational training.
 
 Combines with formal sector multiplier:
 - Informal wage: ₹11,100/mo (rural male)
 - Formal wage without vocational: ₹11,100 × 2.25 = ₹24,975/mo
 - Formal wage WITH vocational: ₹24,975 × 1.047 = ₹26,150/mo
 
 Limitation: No data on persistence (does premium decay over time?).",,Δ_voc,proportional wage increase,0.047,0.06,2,,
Working Life Duration (Formal Sector) [Excluded from sensitivity analysis- fixed structural assumptions],WORKING_LIFE_FORMAL,,,,N/A,3,BASE,Statutory retirement 60yr - entry 22yr = 40 years,"Based on statutory retirement ages: Government 60 years (some states 58), Private 58-60 years (EPFO rules). Entry age for college-educated is typically 22 years, giving 40 years of formal sector working life.","Formal sector workers have defined career spans—typically age 22 to 62, about 40 years. This is shorter than informal sector because of mandatory retirement ages.","Formal sector has defined retirement: Government 60 (some states 58), Private 58-60 (EPFO). Recent proposal to raise to 62-65 (not yet implemented). Entry age: HS+college 22yr, Apprenticeship 18-20yr. Use 40yr (age 22-62) for college-educated, 42-44yr for apprentices (earlier entry).",T_formal,years,40,35,42,PLFS_Annual_Report_23_24,https://dge.gov.in/dge/sites/default/files/2024-10/Annual_Report_Periodic_Labour_Force_Survey_23_24.pdf
Working Life Duration (Informal Sector) [DEPRECATED],WORKING_LIFE_INFORMAL,,,,N/A,,CT2,e-Shram portal data + PLFS elderly employment rates,,"Informal sector has NO fixed retirement:
 - Entry: Often 15-18 years (child labor, early school dropout)
 - Exit: Work as long as physically able (65-70+)
 - Driven by lack of pensions, savings, social security
 
 Caveat: Later years (60+) likely reduced productivity/income.
 Model should apply productivity discount factor (e.g., 0.5× after age 65).",,T_informal,years,50,55,3,,
